nested_records/nesting_to_many_relationships/film_title_actor_name_category_name
Problem:
Actors not grouped, cartesian product as result


Query Sql String:
select `Film`.`TITLE`, `ACTOR`.`FIRST_NAME`, `ACTOR`.`LAST_NAME`, `category`.`name` from `ACTOR` join `FILM_ACTOR` on `ACTOR`.`ACTOR_ID` = `FILM_ACTOR`.`ACTOR_ID` join `Film` on `FILM_ACTOR`.`FILM_ID` = `Film`.`FILM_ID` join `film_category` on `Film`.`FILM_ID` = `film_category`.`film_id` join `category` on `film_category`.`category_id` = `category`.`category_id` order by 1, 2, 3, 4
The formatted plan as returned by the database:
 +----+-----------+-------------+----------+------+---------------------------------+-------------------------+-------+----------------------------+----+--------+-------------------------------+
|  id|select_type|table        |partitions|type  |possible_keys                    |key                      |key_len|ref                         |rows|filtered|Extra                          |
+----+-----------+-------------+----------+------+---------------------------------+-------------------------+-------+----------------------------+----+--------+-------------------------------+
|   1|SIMPLE     |category     |{null}    |ALL   |PRIMARY                          |{null}                   |{null} |{null}                      |  16|   100.0|Using temporary; Using filesort|
|   1|SIMPLE     |film_category|{null}    |ref   |PRIMARY,fk_film_category_category|fk_film_category_category|4      |sakila.category.category_id |  62|   100.0|Using index                    |
|   1|SIMPLE     |Film         |{null}    |eq_ref|PRIMARY                          |PRIMARY                  |4      |sakila.film_category.film_id|   1|   100.0|{null}                         |
|   1|SIMPLE     |FILM_ACTOR   |{null}    |ref   |PRIMARY,idx_fk_film_id           |idx_fk_film_id           |4      |sakila.film_category.film_id|   5|   100.0|Using index                    |
|   1|SIMPLE     |ACTOR        |{null}    |eq_ref|PRIMARY                          |PRIMARY                  |4      |sakila.FILM_ACTOR.actor_id  |   1|   100.0|{null}                         |
+----+-----------+-------------+----------+------+---------------------------------+-------------------------+-------+----------------------------+----+--------+-------------------------------+

The cost the database associated with the execution of the query:  NaN
The estimated number of rows (cardinality) that is to be returned by the query: 16.0
The actual number of rows (cardinality) returned by the query:  5462

Result Records:
  +----------------+----------+---------+-----------+
|TITLE           |FIRST_NAME|LAST_NAME|name       |
|AMISTAD MIDSU...|CARY      |MCCONA...|New        |
|AMISTAD MIDSU...|DARYL     |WAHLBERG |New        |
|AMISTAD MIDSU...|SALMA     |NOLTE    |New        |
|AMISTAD MIDSU...|SCARLETT  |BENING   |New        |
|ANACONDA CONF...|ELVIS     |MARX     |Animation  |
|ANACONDA CONF...|HUMPHREY  |WILLIS   |Animation  |
|ANACONDA CONF...|JAYNE     |NOLTE    |Animation  |
|ANACONDA CONF...|JENNIFER  |DAVIS    |Animation  |
|ANACONDA CONF...|PENELOPE  |GUINESS  |Animation  |
|ANALYZE HOOSIERS|ED        |GUINESS  |Horror     |
|ANALYZE HOOSIERS|GRETA     |MALDEN   |Horror     |
|ANALYZE HOOSIERS|JESSICA   |BAILEY   |Horror     |
|ANALYZE HOOSIERS|TOM       |MCKELLEN |Horror     |
|ANALYZE HOOSIERS|TOM       |MIRANDA  |Horror     |
|ANGELS LIFE     |CHRISTO...|BERRY    |New        |
|ANGELS LIFE     |ED        |MANSFIELD|New        |
|ANGELS LIFE     |GRACE     |MOSTEL   |New        |
|ANGELS LIFE     |JENNIFER  |DAVIS    |New        |
|ANGELS LIFE     |JULIA     |BARRYMORE|New        |
|ANGELS LIFE     |LAURENCE  |BULLOCK  |New        |
|ANGELS LIFE     |NICK      |DEGENERES|New        |
|ANGELS LIFE     |PENELOPE  |GUINESS  |New        |
|ANGELS LIFE     |RENEE     |BALL     |New        |
|ANNIE IDENTITY  |ADAM      |GRANT    |Sci-Fi     |
|ANNIE IDENTITY  |CATE      |MCQUEEN  |Sci-Fi     |
|ANNIE IDENTITY  |GRETA     |KEITEL   |Sci-Fi     |
|ANONYMOUS HUMAN |ED        |GUINESS  |Sports     |
|ANONYMOUS HUMAN |EMILY     |DEE      |Sports     |
|ANONYMOUS HUMAN |FAY       |KILMER   |Sports     |
|ANONYMOUS HUMAN |GRACE     |MOSTEL   |Sports     |
|ANONYMOUS HUMAN |JIM       |MOSTEL   |Sports     |
|ANONYMOUS HUMAN |MENA      |HOPPER   |Sports     |
|ANONYMOUS HUMAN |MERYL     |GIBSON   |Sports     |
|ANONYMOUS HUMAN |SUSAN     |DAVIS    |Sports     |
|ANONYMOUS HUMAN |WHOOPI    |HURT     |Sports     |
|ANTHEM LUKE     |MILLA     |KEITEL   |Comedy     |
|ANTHEM LUKE     |OPRAH     |KILMER   |Comedy     |
|ANTITRUST TOM...|BETTE     |NICHOLSON|Action     |
|ANTITRUST TOM...|REESE     |WEST     |Action     |
|ANTITRUST TOM...|RENEE     |BALL     |Action     |
|ANTITRUST TOM...|SALMA     |NOLTE    |Action     |
|ANTITRUST TOM...|SIDNEY    |CROWE    |Action     |
|ANTITRUST TOM...|UMA       |WOOD     |Action     |
|ANTITRUST TOM...|WILLIAM   |HACKMAN  |Action     |
|ANYTHING SAVA...|CHRISTO...|WEST     |Horror     |
|ANYTHING SAVA...|JOE       |SWANK    |Horror     |
|ANYTHING SAVA...|LISA      |MONROE   |Horror     |
|APACHE DIVINE   |ANNE      |CRONYN   |Family     |
|APACHE DIVINE   |CUBA      |OLIVIER  |Family     |
|APACHE DIVINE   |HENRY     |BERRY    |Family     |
|APACHE DIVINE   |NICK      |WAHLBERG |Family     |
|APOCALYPSE FL...|MAE       |HOFFMAN  |New        |
|APOCALYPSE FL...|OPRAH     |KILMER   |New        |
|APOCALYPSE FL...|RUSSELL   |CLOSE    |New        |
|APOCALYPSE FL...|VIVIEN    |BASINGER |New        |
|APOCALYPSE FL...|WILL      |WILSON   |New        |
|APOLLO TEEN     |ALBERT    |JOHANSSON|Drama      |
|APOLLO TEEN     |DEBBIE    |AKROYD   |Drama      |
|APOLLO TEEN     |ED        |MANSFIELD|Drama      |
|APOLLO TEEN     |JEFF      |SILVER...|Drama      |
|APOLLO TEEN     |MAE       |HOFFMAN  |Drama      |
|APOLLO TEEN     |MENA      |HOPPER   |Drama      |
|APOLLO TEEN     |OPRAH     |KILMER   |Drama      |
|APOLLO TEEN     |WOODY     |JOLIE    |Drama      |
|ARABIA DOGMA    |BURT      |POSEY    |Horror     |
|ARABIA DOGMA    |FRANCES   |TOMEI    |Horror     |
|ARABIA DOGMA    |GRETA     |MALDEN   |Horror     |
|ARABIA DOGMA    |JOHNNY    |CAGE     |Horror     |
|ARABIA DOGMA    |JUDE      |CRUISE   |Horror     |
|ARABIA DOGMA    |JULIA     |MCQUEEN  |Horror     |
|ARABIA DOGMA    |KARL      |BERRY    |Horror     |
|ARABIA DOGMA    |LISA      |MONROE   |Horror     |
|ARABIA DOGMA    |RIP       |CRAWFORD |Horror     |
|ARABIA DOGMA    |RUSSELL   |BACALL   |Horror     |
|ARABIA DOGMA    |SEAN      |WILLIAMS |Horror     |
|ARABIA DOGMA    |WALTER    |TORN     |Horror     |
|ARACHNOPHOBIA...|CUBA      |ALLEN    |Horror     |
|ARACHNOPHOBIA...|DARYL     |WAHLBERG |Horror     |
|ARACHNOPHOBIA...|EWAN      |GOODING  |Horror     |
|ARACHNOPHOBIA...|GRACE     |MOSTEL   |Horror     |
|ARACHNOPHOBIA...|HUMPHREY  |GARLAND  |Horror     |
|ARACHNOPHOBIA...|JUDY      |DEAN     |Horror     |
|ARACHNOPHOBIA...|MORGAN    |HOPKINS  |Horror     |
|ARACHNOPHOBIA...|RITA      |REYNOLDS |Horror     |
|ARGONAUTS TOWN  |DAN       |STREEP   |Animation  |
|ARGONAUTS TOWN  |GARY      |PENN     |Animation  |
|ARGONAUTS TOWN  |GENE      |WILLIS   |Animation  |
|ARGONAUTS TOWN  |JULIA     |BARRYMORE|Animation  |
|ARGONAUTS TOWN  |KEVIN     |GARLAND  |Animation  |
|ARIZONA BANG    |GRETA     |KEITEL   |Classics   |
|ARIZONA BANG    |KARL      |BERRY    |Classics   |
|ARIZONA BANG    |RAY       |JOHANSSON|Classics   |
|ARIZONA BANG    |RUSSELL   |BACALL   |Classics   |
|ARK RIDGEMONT   |AUDREY    |BAILEY   |Action     |
|ARK RIDGEMONT   |NICK      |DEGENERES|Action     |
|ARK RIDGEMONT   |PARKER    |GOLDBERG |Action     |
|ARMAGEDDON LOST |ANGELA    |HUDSON   |Sci-Fi     |
|ARMAGEDDON LOST |CUBA      |ALLEN    |Sci-Fi     |
|ARMAGEDDON LOST |GENE      |MCKELLEN |Sci-Fi     |
|ARMAGEDDON LOST |GREGORY   |GOODING  |Sci-Fi     |
|ARMAGEDDON LOST |JAMES     |PITT     |Sci-Fi     |
|ARMAGEDDON LOST |KIM       |ALLEN    |Sci-Fi     |
|ARMAGEDDON LOST |PENELOPE  |CRONYN   |Sci-Fi     |
|ARMY FLINTSTONES|CARY      |MCCONA...|Documentary|
|ARMY FLINTSTONES|ED        |CHASE    |Documentary|
|ARMY FLINTSTONES|GENE      |WILLIS   |Documentary|
|ARMY FLINTSTONES|MAE       |HOFFMAN  |Documentary|
|ARMY FLINTSTONES|MATTHEW   |CARREY   |Documentary|
|ARMY FLINTSTONES|PENELOPE  |CRONYN   |Documentary|
|ARMY FLINTSTONES|RUSSELL   |CLOSE    |Documentary|
|ARSENIC INDEP...|CUBA      |ALLEN    |Travel     |
|ARSENIC INDEP...|OPRAH     |KILMER   |Travel     |
|ARSENIC INDEP...|RITA      |REYNOLDS |Travel     |
|ARTIST COLDBL...|ED        |CHASE    |Sports     |
|ARTIST COLDBL...|JAYNE     |NEESON   |Sports     |
|ARTIST COLDBL...|KIRK      |JOVOVICH |Sports     |
|ARTIST COLDBL...|MERYL     |ALLEN    |Sports     |
|ARTIST COLDBL...|RENEE     |TRACY    |Sports     |
|ARTIST COLDBL...|SANDRA    |KILMER   |Sports     |
|ARTIST COLDBL...|SIDNEY    |CROWE    |Sports     |
|ATLANTIS CAUSE  |AUDREY    |OLIVIER  |Family     |
|ATLANTIS CAUSE  |CATE      |HARRIS   |Family     |
|ATLANTIS CAUSE  |CHRIS     |DEPP     |Family     |
|ATLANTIS CAUSE  |CUBA      |BIRCH    |Family     |
|ATLANTIS CAUSE  |FRANCES   |TOMEI    |Family     |
|ATLANTIS CAUSE  |GRETA     |KEITEL   |Family     |
|ATLANTIS CAUSE  |HARVEY    |HOPE     |Family     |
|ATLANTIS CAUSE  |JULIANNE  |DENCH    |Family     |
|ATLANTIS CAUSE  |WOODY     |HOFFMAN  |Family     |
|ATTACKS HATE    |BURT      |TEMPLE   |Sci-Fi     |
|ATTACKS HATE    |DAN       |TORN     |Sci-Fi     |
|ATTACKS HATE    |GROUCHO   |DUNST    |Sci-Fi     |
|ATTACKS HATE    |MILLA     |KEITEL   |Sci-Fi     |
|ATTRACTION NE...|CHRISTO...|WEST     |New        |
|ATTRACTION NE...|GARY      |PENN     |New        |
|ATTRACTION NE...|RIP       |WINSLET  |New        |
|ATTRACTION NE...|UMA       |WOOD     |New        |
|AUTUMN CROW     |ANGELA    |HUDSON   |Games      |
|AUTUMN CROW     |DUSTIN    |TAUTOU   |Games      |
|AUTUMN CROW     |JAMES     |PITT     |Games      |
|BABY HALL       |CHARLIZE  |DENCH    |Foreign    |
|BABY HALL       |DARYL     |WAHLBERG |Foreign    |
|BABY HALL       |KEVIN     |GARLAND  |Foreign    |
|BABY HALL       |MATTHEW   |JOHANSSON|Foreign    |
|BABY HALL       |MINNIE    |KILMER   |Foreign    |
|BABY HALL       |NICK      |WAHLBERG |Foreign    |
|BABY HALL       |RIVER     |DEAN     |Foreign    |
|BABY HALL       |VIVIEN    |BASINGER |Foreign    |
|BACKLASH UNDE...|CHRISTIAN |AKROYD   |Children   |
|BACKLASH UNDE...|CHRISTO...|BERRY    |Children   |
|BACKLASH UNDE...|DAN       |STREEP   |Children   |
|BACKLASH UNDE...|JANE      |JACKMAN  |Children   |
|BACKLASH UNDE...|KEVIN     |GARLAND  |Children   |
|BACKLASH UNDE...|SPENCER   |PECK     |Children   |
|BACKLASH UNDE...|SYLVESTER |DERN     |Children   |
|BADMAN DAWN     |ALAN      |DREYFUSS |Sci-Fi     |
|BADMAN DAWN     |BEN       |WILLIS   |Sci-Fi     |
|BADMAN DAWN     |CUBA      |ALLEN    |Sci-Fi     |
|BADMAN DAWN     |GRETA     |KEITEL   |Sci-Fi     |
|BADMAN DAWN     |HARRISON  |BALE     |Sci-Fi     |
|BADMAN DAWN     |OLYMPIA   |PFEIFFER |Sci-Fi     |
|BADMAN DAWN     |THORA     |TEMPLE   |Sci-Fi     |
|BADMAN DAWN     |WARREN    |JACKMAN  |Sci-Fi     |
|BAKED CLEOPATRA |MICHELLE  |MCCONA...|Family     |
|BALLOON HOMEWARD|GARY      |PENN     |Music      |
|BALLOON HOMEWARD|MENA      |TEMPLE   |Music      |
|BALLOON HOMEWARD|PARKER    |GOLDBERG |Music      |
|BALLOON HOMEWARD|RENEE     |BALL     |Music      |
|BALLOON HOMEWARD|RICHARD   |PENN     |Music      |
|BALLOON HOMEWARD|ROCK      |DUKAKIS  |Music      |
|BALLROOM MOCK...|ADAM      |GRANT    |Foreign    |
|BALLROOM MOCK...|BEN       |WILLIS   |Foreign    |
|BALLROOM MOCK...|DARYL     |WAHLBERG |Foreign    |
|BALLROOM MOCK...|GENE      |MCKELLEN |Foreign    |
|BALLROOM MOCK...|HARRISON  |BALE     |Foreign    |
|BALLROOM MOCK...|JUDY      |DEAN     |Foreign    |
|BALLROOM MOCK...|LUCILLE   |DEE      |Foreign    |
|BANG KWAI       |BETTE     |NICHOLSON|Family     |
|BANG KWAI       |FAY       |WOOD     |Family     |
|BANG KWAI       |JULIA     |BARRYMORE|Family     |
|BANG KWAI       |MICHELLE  |MCCONA...|Family     |
|BANG KWAI       |RUSSELL   |TEMPLE   |Family     |
|BANG KWAI       |SANDRA    |PECK     |Family     |
|BANG KWAI       |WALTER    |TORN     |Family     |
|BANGER PINOCCHIO|AUDREY    |BAILEY   |Music      |
|BANGER PINOCCHIO|DUSTIN    |TAUTOU   |Music      |
|BANGER PINOCCHIO|GENE      |WILLIS   |Music      |
|BANGER PINOCCHIO|JAYNE     |NEESON   |Music      |
|BANGER PINOCCHIO|JOHNNY    |LOLLOB...|Music      |
|BANGER PINOCCHIO|LUCILLE   |TRACY    |Music      |
|BARBARELLA ST...|ALAN      |DREYFUSS |Sci-Fi     |
|BARBARELLA ST...|CUBA      |ALLEN    |Sci-Fi     |
|BARBARELLA ST...|GENE      |MCKELLEN |Sci-Fi     |
|BARBARELLA ST...|MARY      |TANDY    |Sci-Fi     |
|BARBARELLA ST...|NICK      |DEGENERES|Sci-Fi     |
|BAREFOOT MANC...|DARYL     |CRAWFORD |Action     |
|BAREFOOT MANC...|ED        |MANSFIELD|Action     |
|BAREFOOT MANC...|ELVIS     |MARX     |Action     |
|BAREFOOT MANC...|JENNIFER  |DAVIS    |Action     |
|BAREFOOT MANC...|KIRK      |JOVOVICH |Action     |
|BAREFOOT MANC...|MILLA     |PECK     |Action     |
|BAREFOOT MANC...|MORGAN    |WILLIAMS |Action     |
|BAREFOOT MANC...|WILL      |WILSON   |Action     |
|BASIC EASY      |EMILY     |DEE      |Travel     |
|BASIC EASY      |EWAN      |GOODING  |Travel     |
|BASIC EASY      |GRETA     |KEITEL   |Travel     |
|BASIC EASY      |GROUCHO   |WILLIAMS |Travel     |
|BASIC EASY      |JESSICA   |BAILEY   |Travel     |
|BASIC EASY      |PENELOPE  |MONROE   |Travel     |
|BEACH HEARTBR...|BEN       |WILLIS   |Documentary|
|BEACH HEARTBR...|FRANCES   |TOMEI    |Documentary|
|BEACH HEARTBR...|GENE      |WILLIS   |Documentary|
|BEACH HEARTBR...|HARVEY    |HOPE     |Documentary|
|BEACH HEARTBR...|MENA      |TEMPLE   |Documentary|
|BEACH HEARTBR...|NICK      |STALLONE |Documentary|
|BEACH HEARTBR...|WOODY     |HOFFMAN  |Documentary|
|BEAR GRACELAND  |BEN       |HARRIS   |Children   |
|BEAR GRACELAND  |PENELOPE  |CRONYN   |Children   |
|BEAR GRACELAND  |SCARLETT  |DAMON    |Children   |
|BEAST HUNCHBACK |ANGELINA  |ASTAIRE  |Classics   |
|BEAST HUNCHBACK |BETTE     |NICHOLSON|Classics   |
|BEAST HUNCHBACK |JODIE     |DEGENERES|Classics   |
|BEAST HUNCHBACK |KENNETH   |TORN     |Classics   |
|BEAST HUNCHBACK |SUSAN     |DAVIS    |Classics   |
|BEAUTY GREASE   |CAMERON   |ZELLWEGER|Drama      |
|BEAUTY GREASE   |ED        |MANSFIELD|Drama      |
|BEAUTY GREASE   |LUCILLE   |DEE      |Drama      |
|BEAUTY GREASE   |MICHAEL   |BENING   |Drama      |
|BEAUTY GREASE   |NICK      |DEGENERES|Drama      |
|BED HIGHBALL    |ALBERT    |NOLTE    |Documentary|
|BED HIGHBALL    |AUDREY    |BAILEY   |Documentary|
|BED HIGHBALL    |GINA      |DEGENERES|Documentary|
|BED HIGHBALL    |JENNIFER  |DAVIS    |Documentary|
|BED HIGHBALL    |SUSAN     |DAVIS    |Documentary|
|BEDAZZLED MAR...|DAN       |HARRIS   |Family     |
|BEDAZZLED MAR...|GARY      |PHOENIX  |Family     |
|BEDAZZLED MAR...|JAYNE     |NOLTE    |Family     |
|BEDAZZLED MAR...|LAURENCE  |BULLOCK  |Family     |
|BEDAZZLED MAR...|LUCILLE   |TRACY    |Family     |
|BEDAZZLED MAR...|PENELOPE  |MONROE   |Family     |
|BEDAZZLED MAR...|REESE     |WEST     |Family     |
|BEETHOVEN EXO...|BELA      |WALKEN   |Drama      |
|BEETHOVEN EXO...|MINNIE    |KILMER   |Drama      |
|BEETHOVEN EXO...|SANDRA    |PECK     |Drama      |
|BEETHOVEN EXO...|SCARLETT  |BENING   |Drama      |
|BEETHOVEN EXO...|VIVIEN    |BASINGER |Drama      |
|BEETHOVEN EXO...|WARREN    |JACKMAN  |Drama      |
